Body ID,articleBody
10, 
11,"
Who? Comedian. 
Where would she move? Spain. ‚ÄúI did buy a house in another country just in case, so all of these people that threaten to leave the country and then don‚Äôt, I will leave the country,‚Äù she said on Live with Kelly and Michael. 
(Weirdly, she called Trump charming in the same interview.) 
3. Neve Campbell 
Who? House of Cards actress. 
Where would she move? Canada. 
‚ÄúHis honesty is terrifying,‚Äù she told Huffington Post UK. 
4. Barry Diller 
Who? Founder of IAC Interactive. 
Where would he move? Unspecified. 
‚ÄúIf Donald Trump doesn‚Äôt fall, I‚Äôll either move out of the country or join the resistance,‚Äù he told Bloomberg. 
5. Lena Dunham 
Who? Creator of Girls. 
Where would she move? Vancouver. 
‚ÄúI know a lot of people have been threatening to do this, but I really will,‚Äù she said at the Matrix Awards. 
6. Keegan-Michael Key 
Who? Star of Key & Peele. 
Where would he move? Canada. 
‚ÄúIt‚Äôs easy. It‚Äôs like 10 minutes from Detroit and that‚Äôs where I‚Äôm from,‚Äù he told TMZ. 
7. Chlo√´ Sevigny 
Who? Actress and guest star in Portlandia. 
Where would she move? Nova Scotia. 
She answered simply, ‚ÄúNova Scotia‚Äù to a question of where she would move if Trump were elected. 
8. Al Sharpton 
Who? Activist. 
Where would he move? Out of here. 
‚ÄúIf Donald Trump is the nominee, I‚Äôm open to support anyone, while I‚Äôm also reserving my ticket out of here if he wins,‚Äù he said at a press conference. 
9. Natasha Lyonne 
Who? Actress in Orange Is the New Black. 
Where would she move? A mental hospital. 
‚Äú[I‚Äôll move] to a mental hospital for a while because you‚Äôre like ‚Äòwhy is this happening?‚Äô‚Äù she said. 
10. Eddie Griffin 
Who? Comedian. 
Where would he move? Africa. 
‚ÄúHe‚Äôs good at making money, but he‚Äôs ignorant‚Ä¶If Trump wins, I‚Äôm moving to Africa,‚Äù he told DJ Vlad. 
11. Spike Lee 
Who? Director of Malcolm X. 
Where would he move? ‚Ä¶Brooklyn. 
If Trump wins, he‚Äôll be ‚Äúmoving back to the republic of Brooklyn, New York,‚Äù he reported to Vanity Fair. 
12. Amber Rose 
Who? Model. 
Where would she move? Unspecified. 
‚ÄúI can‚Äôt even think about it! I‚Äôm moving, I‚Äôm out! I can‚Äôt. And I am taking my son with me!‚Äù she told US Weekly. 
13. Samuel L. Jackson 
Who? Actor. 
Where would he move? South Africa. 
‚ÄúHe‚Äôs just running for popularity. C‚Äômon, just let it go,‚Äù he said on The View. 
14. Cher 
Where would she move? Jupiter 
‚ÄúIF HE WERE TO BE ELECTED, IM MOVING TO JUPITER >:|‚Äù she tweeted. 
15. George Lopez 
Who? Comedian and star of George Lopez. 
Where would he move? Mexico. 
‚ÄúIf he wins, he won‚Äôt have to worry about immigration, we‚Äôll all go back,‚Äù he told TMZ. 
16. Barbra Streisand 
Who? Singer. 
Where would she move? Australia or Canada. 
‚ÄúHe has no facts. I don‚Äôt know, I can‚Äôt believe it. I‚Äôm either coming to your country [Australia], if you‚Äôll let me in, or Canada,‚Äù she told Australian journalist Michael Usher. 
17. Raven-Symon√© 
Who? Actress and host of The View. 
Where would she move? Canada. 
‚ÄúMy confession for this election is if any Republican gets nominated, I‚Äôm going to move to Canada with my entire family. I already have my ticket,‚Äù she said on The View. 
Note: Her leaving was contingent on any Republican candidate winning the election‚Äìnot just Trump. 
18. Whoopi Goldberg 
Who? Actress and host of The View. 
Where would she move? Unspecified. 
‚ÄúI don‚Äôt want it to be America. Maybe it‚Äôs time for me to move, you know,‚Äù she said. 
19. Omari Hardwick 
Who? Actor in Power. 
Where would he move? Italy. 
‚ÄúI‚Äôll move from Denver to Italy‚Ä¶ If Donald Trump wins the presidency, I‚Äôm out,‚Äù he told The Wrap. 
20. Miley Cyrus 
Who? Pop star. 
Where would she move? Unspecified. 
‚ÄúMy heart is broken into a 1 pieces‚Ä¶I am moving if this is my president! I don‚Äôt say things I don‚Äôt mean!‚Äù she wrote in an Instagram post. 
21. Ruth Bader Ginsburg 
Who? Supreme Court Justice. 
Where would she move? New Zealand. 
‚ÄúI can‚Äôt imagine what the country would be with Donald Trump as our president‚Ä¶ Now it‚Äôs time for us to move to New Zealand,‚Äù she told The New York Times. 
22. Amy Schumer 
Who? Comedian and actress. 
Where would she move? Spain. 
‚ÄúI will need to learn to speak Spanish because I will move to Spain or somewhere‚Ä¶ It‚Äôs beyond my comprehension if Trump won. It‚Äôs too crazy,‚Äù she told BBC Newsnight. 
23. Katie Hopkins "
12,"Students expressed their ‚Äúfear‚Äù over a Trump presidency in messages to each other that were being shared on Twitter today: ‚ÄúLiterally scared for their lives‚Äù is the new ‚Äúliterally Hitler‚Äù. #NotMyPresident pic.twitter.com/8cKfQdF2Ce 
‚Äî Paul Joseph Watson (@PrisonPlanet) November 9, 2016 
And finally, this ridiculous and totally biased email was sent from University of Michigan President to the students offering them assistance to help them through the results of our Presidential election last night. The President wants to ensure the students that the university remains committed to their ‚Äúmost important responsibility‚Äù at their school which is apparently, ‚Äúto remain committed to education, discovery and intellectual honesty ‚Äì and to diversity, equity and inclusion.‚Äù: 
To All Members of the University Community: 
As I‚Äôm sure many of you did, I watched the election coverage late into the night, and had the opportunity to visit with students and staff at a results-watching event sponsored by the Ginsberg Center at the Michigan Union. It will take quite some time to completely absorb the results from yesterday‚Äôs election, understand the full implications, and discern the long-term impact on our university and our nation . More immediately, in the aftermath of a close and highly contentious election we continue to embrace our most important responsibility as a university community. Our responsibility is to remain committed to education, discovery and intellectual honesty ‚Äì and to diversity, equity and inclusion. We are at our best when we come together to engage respectfully across our ideological differences; to support ALL who feel marginalized, threatened or unwelcome; and to pursue knowledge and understanding, as we always have, as the students, faculty and staff of the University of Michigan. There are reports of members of our community offering support to one another. Students are planning a vigil tonight on the Diag at 6 p.m. Our Center for Research on Teaching and Learning also has numerous resources available for faculty seeking help in cultivating classroom environments that are responsive to national issues. I also want to make everyone aware of some of the plans and events we have had in place for today and beyond. ¬∑ Our Gerald R. Ford School of Public Policy is holding a Post-Election Analysis from 4 to 5:30 p.m. today in the Weill Hall‚Äôs Annenberg Auditorium. Speakers include former U.S. Congressman John Dingell, former Ambassador Ron Weiser, and faculty members Mara Ostfeld, Betsey Stevenson and Marina Whitman. ¬∑ Our History Department has organized a community discussion led by faculty and students to include historical perspectives at 6 p.m. tonight in 1014 Tisch Hall. ¬∑ The Office of Student Life will provide resources and referrals for support on campus to students, faculty and staff at a location in the Michigan Union‚Äôs Willis Ward Lounge. It will be open today from 11 a.m. to 4 p.m. ¬∑ Our Office of Multi-Ethnic Student Affairs is offering an open space of support to help members of our community connect during open hours today. MESA‚Äôs office is in the Michigan Union, Room 2202. ¬∑ Tomorrow, our Ginsberg Center and Counseling and Psychological Services office is facilitating a Post-election Dialogue: Impact, Perspective-taking, and Moving Forward. This event is part of the Student Life Professional Development Conference at 1 ‚Äì 2 p.m. in the Michigan League‚Äôs Henderson Room. I know that other schools, colleges and offices across our campus are planning events as well. I thank everyone who is helping us come together and ask anyone scheduling a post election event post it on the University of Michigan Events Calendar. I hope all of us will continue to proudly embrace the opportunities before us as the students, faculty and staff of a great public research university governed by the people. Elections are often times of great change, but the values we stand for at U-M have been shaped over the course of nearly 200 years. Our mission remains as essential for society as ever: ‚Äú‚Ä¶to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future.‚Äù I look forward to working together with all of you to advance the work we do in service of the public ‚Äì and to ensure that the University of Michigan will always be a welcoming place for all members of society. Sincerely, 
Mark Schlissel President  "
13,"Email For Republican politicians like Ohio Governor John Kasich who refused to get behind Donald J. Trump‚Ä¶it turns out Trump was right‚Ä¶he didn‚Äôt need you. In spite of the massive media force who came out against him, and the ‚Äònever Trumpers‚Äô from his own party who worked very hard to defeat him, if Obama was running against Donald J. Trump today, Trump would have beaten him‚Ä¶ 
It‚Äôs easy to glance at Tuesday‚Äôs popular vote ‚Äî which, with 92 percent of all precincts reporting, shows Hillary Clinton with six million fewer votes than Barack Obama won in 2012 ‚Äì and reach the conclusion that Clinton lost the White House because she failed to turn out the Democratic base. But the truth is much more complicated. While she underperformed relative to Obama‚Äôs 2012 totals in several Midwestern states ‚Äî Ohio, Michigan, Iowa, and Wisconsin ‚Äî Clinton ran virtually even with Obama in the battlegrounds of Pennsylvania, North Carolina, Virginia, Nevada, and New Hampshire. What‚Äôs more, she far surpassed Obama‚Äôs 2012 vote total in Florida, the country‚Äôs biggest swing state. Yet somehow, while Obama carried Florida, Clinton lost it. Which brings us to an important question: Was Donald Trump just good enough to beat a bad Democratic opponent on Tuesday, or does he deserve far more credit? Could he, for instance, have competed with the vaunted Obama machine? The answer, somewhat shockingly, is yes. 
A review of vote totals in the past two elections reveals that Trump 2016 would have defeated Obama 2012 in the electoral college. (Disclaimer: This obviously is an apples-to-oranges exercise because no two elections are the same, nor are any two electorates. Still, unlike debating whether the 2016 Cubs would defeat the 1927 Yankees, this is not an entirely abstract argument; a comparison of their respective performances in the country‚Äôs most competitive states shows Trump edging Obama in a hypothetical head-to-head matchup.) The math might seem impossible. After all, Obama won nearly 66 million votes in 2012; Trump is currently at 59.5 million and should finish around 60 million, which will actually be one million fewer votes than Mitt Romney won. How, then, could Trump have topped Obama in the electoral college? The answer: Republican turnout lagged in certain parts of the country but shot through the roof in the nation‚Äôs most critical battleground states. Let‚Äôs look at them individually, in descending order by population, and do the electoral-vote math. The 2016 totals aren‚Äôt yet final because not all precincts have reported. 
FLORIDA ‚Äî 29 EVs ‚Äî 98 percent reporting 
Obama 2012: 4,235,270 
Clinton 2016: 4,485,745 TRENDING ON 100% Fed Up "
14,"Copyright ¬© 2016 100PercentFedUp.com, in association with Liberty Alliance | All rights reserved. Proudly built by WPDevelopers . STAY IN THE LOOP Sign up for our email newsletter to become a 100% Fed Up insider. Subscribe "
15,Go to Article A Trump supporter wearing a Trump/Pence t-shirt let it fly on a reporter from MSNBC because of his one sided reporting and the demonizing of Trump. This is one brave woman! New Yorkers have had enough of the protests and violence! ‚Ä¶ @calmsnbc is having an interesting day. pic.twitter.com/EMelMQamAU
16,"Copyright ¬© 2016 100PercentFedUp.com, in association with Liberty Alliance | All rights reserved. Proudly built by WPDevelopers . STAY IN THE LOOP Sign up for our email newsletter to become a 100% Fed Up insider. Subscribe "
17,"Go to Article Donald Trump was willing to give up a very fulfilling life that took decades to build, so he could step up and take control of an out of control government. He and his family have already sacrificed so much because he chose to put his country first. Making sacrifices is certainly not something loudmouth liberals like Robert DeNiro are accustomed to. DeNiro was very vocal about his opposition to the wildly successful business man Donald J. Trump. He felt so strongly about his hate for Trump that made a video where he angrily stated he‚Äôd like to, ‚Äúpunch him in the face.‚Äù Now that Trump won the election in a landslide, DeNiro has chosen to get behind the Trump rioters who are terrorizing cities across America. Anti-Trump rioters are breaking windows, using baseball bats to smash the windshields of innocent citizens who get trapped in their hellish protests as they try to escape. Women who are taking part in the protests are being punched in the faces by men who are also taking part in the George Soros funded protests. American flags are being burned and families who are walking in major cities are being subjected to the most vile and disgusting, hateful language and images imaginable. If this is the kind of America that Robert DiNero is openly supporting? And if so, why would any American pay to see his movie,‚ÄùComedian‚Äù? 
Robert De Niro gave anti-Donald Trump protesters across the United States his backing Friday as he spoke about how ‚Äúdepressed‚Äù the tycoon‚Äôs win in the presidential election had made him. 
The 73-year-old star was on the red carpet at the world premiere of his new film ‚ÄúThe Comedian‚Äù in Los Angeles when he was asked how he was coping with Trump‚Äôs victory over Democratic rival Hillary Clinton. 
‚ÄúHow am I doing? I‚Äôm very depressed,‚Äù the famously laconic ‚ÄúRaging Bull‚Äù actor told reporters. 
‚ÄúWe have to just wait and see how things go and keep our eyes ever vigilant on the new government.‚Äù 
Asked if he thought the protests were an appropriate response to the outcome of Tuesday‚Äôs election, he replied: ‚ÄúYes, absolutely. Things aren‚Äôt being done right.‚Äù 
Demonstrators took to the streets in Miami, Los Angeles, New York and other US cities for a third straight night on Friday. 
In Manhattan, they held signs reading ‚ÄúYour Wall Can‚Äôt Stand in Our Way‚Äù ‚Äî a reference to the anti-immigration barrier the billionaire has promised to build on the US border with Mexico. 
De Niro hasn‚Äôt minced his words in his criticism of Trump, describing him as ‚Äúa punk,‚Äù ‚Äúa pig‚Äù and ‚Äúan idiot.‚Äù 
‚ÄúI‚Äôd like to punch him in the face,‚Äù he said before the election. 
Earlier in the day a town in southern Italy where De Niro‚Äôs grandparents came from offered the actor a means of escape. 
‚ÄúIf, after the disappointment of Trump, he wants to take refuge here, we are ready to welcome him,‚Äù said Antonio Cerio, the mayor of Ferrazzano. 
‚ÄúThe Comedian,‚Äù De Niro‚Äôs passion project which took him eight years to bring to the big screen, was part of this year‚Äôs program for the American Film Institute‚Äôs annual AFI Fest in Los Angeles. ‚Äì Yahoo 
Here‚Äôs a clip of Trump-hater Megyn Kelly promoting DiNero‚Äôs hateful rant against Donald J. Trump:  "
18,"John McNaughton is a special American painter because of his subject matter and the intensity in which he portrays our current government‚Ä¶troubled and corrupt. The Forgotten Man painting is amazing in its symbolism. 
Here‚Äôs how McNaughton describes the painting: 
Against the background of a darkening sky, all of the past Presidents of the United States gather before the White House, as if to commemorate some great event. In the left hand corner of the painting sits a man. That man, with his head bowed appears distraught and hopeless as he contemplates his future. Some of the past Presidents try to console him while looking in the direction of the modern Presidents as if to say, ‚ÄúWhat have you done?‚Äù Many of these modern Presidents, seemingly oblivious to anything other than themselves, appear to be congratulating each other on their great accomplishments. In front of the man, paper trash is blowing in the wind. Crumpled dollar bills, legislative documents, and, like a whisper‚Äîthe U.S. Constitution beneath the foot of Barack Obama. 
THE FORGOTTEN MAN‚Ä¶ 
McNaughton never sells his original paintings BUT he made an exception this time. He sold this painting to Sean Hannity so Hannity could give it to Donald Trump. Awesome, huh? 
November 9th McNaughton announced via facebook that he sold the original to Sean Hannity: 
‚ÄúSean Hannity just purchased my painting ‚ÄúThe Forgotten Man‚Äù to give to Donald Trump to hang in the White House‚Äù 
THE WHITE HOUSE!"
19, XYZ
